start_time,end_time,tmc,road,intersection,type,duration_minutes
2024-10-10 10:16:00,2024-10-10 10:21:00,112P09580,FM-528,W BAY AREA BLVD,short_window,6
2024-10-10 10:41:00,2024-10-10 10:50:00,112P09580,FM-528,W BAY AREA BLVD,short_window,10
2024-10-10 13:10:00,2024-10-10 13:16:00,112P09580,FM-528,W BAY AREA BLVD,short_window,7
2024-10-10 13:22:00,2024-10-10 13:31:00,112P09580,FM-528,W BAY AREA BLVD,short_window,10
2024-10-10 13:46:00,2024-10-10 13:54:00,112P09580,FM-528,W BAY AREA BLVD,short_window,9
2024-10-10 14:16:00,2024-10-10 14:22:00,112P09580,FM-528,W BAY AREA BLVD,short_window,7
2024-10-10 14:48:00,2024-10-10 14:52:00,112P09580,FM-528,W BAY AREA BLVD,short_window,5
2024-10-10 20:59:00,2024-10-10 21:08:00,112P09580,FM-528,W BAY AREA BLVD,short_window,10
2024-10-11 00:29:00,2024-10-11 00:55:00,112P09580,FM-528,W BAY AREA BLVD,short_window,27
2024-10-11 01:05:00,2024-10-11 01:30:00,112P09580,FM-528,W BAY AREA BLVD,short_window,26
2024-10-11 14:44:00,2024-10-11 14:52:00,112P09580,FM-528,W BAY AREA BLVD,short_window,9
2024-10-11 18:37:00,2024-10-11 18:41:00,112P09580,FM-528,W BAY AREA BLVD,short_window,5
2024-10-11 19:13:00,2024-10-11 19:17:00,112P09580,FM-528,W BAY AREA BLVD,short_window,5
2024-10-11 20:56:00,2024-10-11 21:05:00,112P09580,FM-528,W BAY AREA BLVD,short_window,10
2024-10-11 22:05:00,2024-10-11 22:21:00,112P09580,FM-528,W BAY AREA BLVD,short_window,17
2024-10-11 22:49:00,2024-10-11 23:07:00,112P09580,FM-528,W BAY AREA BLVD,short_window,19
2024-10-11 23:24:00,2024-10-11 23:54:00,112P09580,FM-528,W BAY AREA BLVD,short_window,31
2024-10-12 00:03:00,2024-10-12 00:22:00,112P09580,FM-528,W BAY AREA BLVD,short_window,20
2024-10-12 03:36:00,2024-10-12 03:41:00,112P09580,FM-528,W BAY AREA BLVD,short_window,6
2024-10-12 03:49:00,2024-10-12 04:08:00,112P09580,FM-528,W BAY AREA BLVD,short_window,20
2024-10-12 05:55:00,2024-10-12 06:10:00,112P09580,FM-528,W BAY AREA BLVD,short_window,16
2024-10-12 06:33:00,2024-10-12 06:44:00,112P09580,FM-528,W BAY AREA BLVD,short_window,12
2024-10-12 09:49:00,2024-10-12 09:54:00,112P09580,FM-528,W BAY AREA BLVD,short_window,6
2024-10-12 10:59:00,2024-10-12 11:04:00,112P09580,FM-528,W BAY AREA BLVD,short_window,6
2024-10-12 13:04:00,2024-10-12 13:16:00,112P09580,FM-528,W BAY AREA BLVD,short_window,13
2024-10-12 14:21:00,2024-10-12 14:30:00,112P09580,FM-528,W BAY AREA BLVD,short_window,10
2024-10-12 14:41:00,2024-10-12 14:48:00,112P09580,FM-528,W BAY AREA BLVD,short_window,8
2024-10-12 15:11:00,2024-10-12 15:16:00,112P09580,FM-528,W BAY AREA BLVD,short_window,6
2024-10-12 15:25:00,2024-10-12 15:36:00,112P09580,FM-528,W BAY AREA BLVD,short_window,12
2024-10-12 15:42:00,2024-10-12 15:52:00,112P09580,FM-528,W BAY AREA BLVD,short_window,11
2024-10-12 16:22:00,2024-10-12 16:30:00,112P09580,FM-528,W BAY AREA BLVD,short_window,9
2024-10-12 18:37:00,2024-10-12 18:44:00,112P09580,FM-528,W BAY AREA BLVD,short_window,8
2024-10-12 19:44:00,2024-10-12 20:08:00,112P09580,FM-528,W BAY AREA BLVD,short_window,25
2024-10-12 20:14:00,2024-10-12 20:28:00,112P09580,FM-528,W BAY AREA BLVD,short_window,15
