tmc_code,measurement_tstamp,speed,historical_average_speed,historical_average_speed,reference_speed,travel_time_minutes,travel_time_minutes,confidence_score,confidence,data_quality,cvalue
101+53227,2024-10-13 00:00:00,40.00,44.00,44.00,44.00,2.36,2.36,93.00,0.93,93.00,
101+53227,2024-10-13 00:01:00,40.00,44.00,44.00,44.00,2.36,2.36,93.00,0.93,93.00,
101+53227,2024-10-13 00:02:00,40.00,44.00,44.00,44.00,2.36,2.36,92.00,0.92,92.00,
101+53227,2024-10-13 00:03:00,40.00,44.00,44.00,44.00,2.36,2.36,89.00,0.89,89.00,
101+53227,2024-10-13 00:04:00,40.00,44.00,44.00,44.00,2.36,2.36,87.00,0.87,87.00,
101+53227,2024-10-13 00:05:00,40.00,44.00,44.00,44.00,2.36,2.36,86.00,0.86,86.00,
101+53227,2024-10-13 00:06:00,40.00,44.00,44.00,44.00,2.36,2.36,86.00,0.86,86.00,
101+53227,2024-10-13 00:07:00,43.00,44.00,44.00,44.00,2.20,2.20,89.00,0.89,89.00,
101+53227,2024-10-13 00:08:00,48.00,44.00,44.00,44.00,1.97,1.97,90.00,0.90,90.00,
101+53227,2024-10-13 00:09:00,48.00,44.00,44.00,44.00,1.97,1.97,88.00,0.88,88.00,
101+53227,2024-10-13 00:10:00,47.00,44.00,44.00,44.00,2.01,2.01,89.00,0.89,89.00,
101+53227,2024-10-13 00:11:00,47.00,44.00,44.00,44.00,2.01,2.01,89.00,0.89,89.00,
101+53227,2024-10-13 00:12:00,44.00,44.00,44.00,44.00,2.15,2.15,90.00,0.90,90.00,
101+53227,2024-10-13 00:13:00,44.00,44.00,44.00,44.00,2.15,2.15,88.00,0.88,88.00,
101+53227,2024-10-13 00:14:00,44.00,44.00,44.00,44.00,2.15,2.15,86.00,0.86,86.00,
101+53227,2024-10-13 00:15:00,46.00,44.00,44.00,44.00,2.06,2.06,88.00,0.88,88.00,
101+53227,2024-10-13 00:16:00,49.00,44.00,44.00,44.00,1.93,1.93,90.00,0.90,90.00,
101+53227,2024-10-13 00:17:00,49.00,44.00,44.00,44.00,1.93,1.93,89.00,0.89,89.00,
101+53227,2024-10-13 00:18:00,48.00,44.00,44.00,44.00,1.97,1.97,87.00,0.87,87.00,
101+53227,2024-10-13 00:19:00,43.00,44.00,44.00,44.00,2.20,2.20,92.00,0.92,92.00,
101+53227,2024-10-13 00:20:00,41.00,44.00,44.00,44.00,2.31,2.31,91.00,0.91,91.00,
101+53227,2024-10-13 00:21:00,45.00,44.00,44.00,44.00,2.10,2.10,94.00,0.94,94.00,
101+53227,2024-10-13 00:22:00,46.00,44.00,44.00,44.00,2.06,2.06,96.00,0.96,96.00,
101+53227,2024-10-13 00:23:00,45.00,44.00,44.00,44.00,2.10,2.10,96.00,0.96,96.00,
101+53227,2024-10-13 00:24:00,45.00,44.00,44.00,44.00,2.10,2.10,94.00,0.94,94.00,
101+53227,2024-10-13 00:25:00,46.00,44.00,44.00,44.00,2.06,2.06,93.00,0.93,93.00,
101+53227,2024-10-13 00:26:00,45.00,44.00,44.00,44.00,2.10,2.10,92.00,0.92,92.00,
101+53227,2024-10-13 00:27:00,45.00,44.00,44.00,44.00,2.10,2.10,91.00,0.91,91.00,
101+53227,2024-10-13 00:28:00,46.00,44.00,44.00,44.00,2.06,2.06,90.00,0.90,90.00,
101+53227,2024-10-13 00:29:00,47.00,44.00,44.00,44.00,2.01,2.01,91.00,0.91,91.00,
101+53227,2024-10-13 00:30:00,47.00,44.00,44.00,44.00,2.01,2.01,92.00,0.92,92.00,
101+53227,2024-10-13 00:31:00,47.00,44.00,44.00,44.00,2.01,2.01,95.00,0.95,95.00,
101+53227,2024-10-13 00:32:00,48.00,44.00,44.00,44.00,1.97,1.97,96.00,0.96,96.00,
101+53227,2024-10-13 00:33:00,48.00,44.00,44.00,44.00,1.97,1.97,96.00,0.96,96.00,
101+53227,2024-10-13 00:34:00,48.00,44.00,44.00,44.00,1.97,1.97,95.00,0.95,95.00,
101+53227,2024-10-13 00:35:00,48.00,44.00,44.00,44.00,1.97,1.97,94.00,0.94,94.00,
101+53227,2024-10-13 00:36:00,48.00,44.00,44.00,44.00,1.97,1.97,92.00,0.92,92.00,
101+53227,2024-10-13 00:37:00,48.00,44.00,44.00,44.00,1.97,1.97,91.00,0.91,91.00,
101+53227,2024-10-13 00:38:00,48.00,44.00,44.00,44.00,1.97,1.97,90.00,0.90,90.00,
101+53227,2024-10-13 00:39:00,48.00,44.00,44.00,44.00,1.97,1.97,89.00,0.89,89.00,
101+53227,2024-10-13 00:40:00,48.00,44.00,44.00,44.00,1.97,1.97,87.00,0.87,87.00,
101+53227,2024-10-13 00:41:00,48.00,44.00,44.00,44.00,1.97,1.97,84.00,0.84,84.00,
101+53227,2024-10-13 00:42:00,48.00,44.00,44.00,44.00,1.97,1.97,82.00,0.82,82.00,
101+53227,2024-10-13 00:43:00,48.00,44.00,44.00,44.00,1.97,1.97,82.00,0.82,82.00,
101+53227,2024-10-13 00:44:00,46.00,44.00,44.00,44.00,2.06,2.06,85.00,0.85,85.00,
101+53227,2024-10-13 00:45:00,45.00,44.00,44.00,44.00,2.10,2.10,87.00,0.87,87.00,
101+53227,2024-10-13 00:46:00,43.00,44.00,44.00,44.00,2.20,2.20,87.00,0.87,87.00,
101+53227,2024-10-13 00:47:00,44.00,44.00,44.00,44.00,2.15,2.15,87.00,0.87,87.00,
101+53227,2024-10-13 00:48:00,43.00,44.00,44.00,44.00,2.20,2.20,86.00,0.86,86.00,
101+53227,2024-10-13 00:49:00,43.00,44.00,44.00,44.00,2.20,2.20,83.00,0.83,83.00,
101+53227,2024-10-13 00:50:00,44.00,44.00,44.00,44.00,2.15,2.15,84.00,0.84,84.00,
101+53227,2024-10-13 00:51:00,45.00,44.00,44.00,44.00,2.10,2.10,85.00,0.85,85.00,
101+53227,2024-10-13 00:52:00,45.00,44.00,44.00,44.00,2.10,2.10,86.00,0.86,86.00,
101+53227,2024-10-13 00:53:00,44.00,44.00,44.00,44.00,2.15,2.15,86.00,0.86,86.00,
101+53227,2024-10-13 00:54:00,44.00,44.00,44.00,44.00,2.15,2.15,86.00,0.86,86.00,
101+53227,2024-10-13 00:55:00,45.00,44.00,44.00,44.00,2.10,2.10,83.00,0.83,83.00,
101+53227,2024-10-13 00:56:00,44.00,44.00,44.00,44.00,2.15,2.15,83.00,0.83,83.00,
101+53227,2024-10-13 00:57:00,45.00,44.00,44.00,44.00,2.10,2.10,85.00,0.85,85.00,
101+53227,2024-10-13 00:58:00,46.00,44.00,44.00,44.00,2.06,2.06,87.00,0.87,87.00,
101+53227,2024-10-13 00:59:00,46.00,44.00,44.00,44.00,2.06,2.06,87.00,0.87,87.00,
101+53227,2024-10-13 01:00:00,46.00,45.00,45.00,44.00,2.06,2.06,85.00,0.85,85.00,
101+53227,2024-10-13 01:01:00,46.00,45.00,45.00,44.00,2.06,2.06,84.00,0.84,84.00,
101+53227,2024-10-13 01:02:00,46.00,45.00,45.00,44.00,2.06,2.06,83.00,0.83,83.00,
101+53227,2024-10-13 01:03:00,46.00,45.00,45.00,44.00,2.06,2.06,82.00,0.82,82.00,
101+53227,2024-10-13 01:04:00,46.00,45.00,45.00,44.00,2.06,2.06,81.00,0.81,81.00,
101+53227,2024-10-13 01:05:00,46.00,45.00,45.00,44.00,2.06,2.06,79.00,0.79,79.00,
101+53227,2024-10-13 01:06:00,46.00,45.00,45.00,44.00,2.06,2.06,78.00,0.78,78.00,
101+53227,2024-10-13 01:07:00,46.00,45.00,45.00,44.00,2.06,2.06,77.00,0.77,77.00,
101+53227,2024-10-13 01:08:00,46.00,45.00,45.00,44.00,2.06,2.06,77.00,0.77,77.00,
101+53227,2024-10-13 01:09:00,47.00,45.00,45.00,44.00,2.01,2.01,76.00,0.76,76.00,
101+53227,2024-10-13 01:10:00,46.00,45.00,45.00,44.00,2.06,2.06,75.00,0.75,75.00,
101+53227,2024-10-13 01:11:00,46.00,45.00,45.00,44.00,2.06,2.06,74.00,0.74,74.00,
101+53227,2024-10-13 01:12:00,46.00,45.00,45.00,44.00,2.06,2.06,73.00,0.73,73.00,
101+53227,2024-10-13 01:13:00,46.00,45.00,45.00,44.00,2.06,2.06,73.00,0.73,73.00,
101+53227,2024-10-13 01:14:00,46.00,45.00,45.00,44.00,2.06,2.06,73.00,0.73,73.00,
101+53227,2024-10-13 01:15:00,46.00,45.00,45.00,44.00,2.06,2.06,73.00,0.73,73.00,
101+53227,2024-10-13 01:16:00,46.00,45.00,45.00,44.00,2.06,2.06,72.00,0.72,72.00,
101+53227,2024-10-13 01:17:00,43.00,45.00,45.00,44.00,2.20,2.20,73.00,0.73,73.00,
101+53227,2024-10-13 01:18:00,43.00,45.00,45.00,44.00,2.20,2.20,75.00,0.75,75.00,
101+53227,2024-10-13 01:19:00,41.00,45.00,45.00,44.00,2.31,2.31,79.00,0.79,79.00,
101+53227,2024-10-13 01:20:00,42.00,45.00,45.00,44.00,2.25,2.25,82.00,0.82,82.00,
101+53227,2024-10-13 01:21:00,41.00,45.00,45.00,44.00,2.31,2.31,82.00,0.82,82.00,
101+53227,2024-10-13 01:22:00,41.00,45.00,45.00,44.00,2.31,2.31,82.00,0.82,82.00,
101+53227,2024-10-13 01:23:00,42.00,45.00,45.00,44.00,2.25,2.25,80.00,0.80,80.00,
101+53227,2024-10-13 01:24:00,42.00,45.00,45.00,44.00,2.25,2.25,78.00,0.78,78.00,
101+53227,2024-10-13 01:25:00,42.00,45.00,45.00,44.00,2.25,2.25,78.00,0.78,78.00,
101+53227,2024-10-13 01:26:00,43.00,45.00,45.00,44.00,2.20,2.20,78.00,0.78,78.00,
101+53227,2024-10-13 01:27:00,43.00,45.00,45.00,44.00,2.20,2.20,78.00,0.78,78.00,
101+53227,2024-10-13 01:28:00,43.00,45.00,45.00,44.00,2.20,2.20,76.00,0.76,76.00,
101+53227,2024-10-13 01:29:00,44.00,45.00,45.00,44.00,2.15,2.15,75.00,0.75,75.00,
101+53227,2024-10-13 01:30:00,43.00,45.00,45.00,44.00,2.20,2.20,79.00,0.79,79.00,
101+53227,2024-10-13 01:31:00,41.00,45.00,45.00,44.00,2.31,2.31,87.00,0.87,87.00,
101+53227,2024-10-13 01:32:00,39.00,45.00,45.00,44.00,2.42,2.42,91.00,0.91,91.00,
101+53227,2024-10-13 01:33:00,39.00,45.00,45.00,44.00,2.42,2.42,90.00,0.90,90.00,
101+53227,2024-10-13 01:34:00,39.00,45.00,45.00,44.00,2.42,2.42,90.00,0.90,90.00,
101+53227,2024-10-13 01:35:00,39.00,45.00,45.00,44.00,2.42,2.42,88.00,0.88,88.00,
101+53227,2024-10-13 01:36:00,39.00,45.00,45.00,44.00,2.42,2.42,86.00,0.86,86.00,
101+53227,2024-10-13 01:37:00,39.00,45.00,45.00,44.00,2.42,2.42,85.00,0.85,85.00,
101+53227,2024-10-13 01:38:00,40.00,45.00,45.00,44.00,2.36,2.36,84.00,0.84,84.00,
101+53227,2024-10-13 01:39:00,40.00,45.00,45.00,44.00,2.36,2.36,84.00,0.84,84.00,
101+53227,2024-10-13 01:40:00,40.00,45.00,45.00,44.00,2.36,2.36,82.00,0.82,82.00,
101+53227,2024-10-13 01:41:00,40.00,45.00,45.00,44.00,2.36,2.36,80.00,0.80,80.00,
101+53227,2024-10-13 01:42:00,40.00,45.00,45.00,44.00,2.36,2.36,79.00,0.79,79.00,
101+53227,2024-10-13 01:43:00,40.00,45.00,45.00,44.00,2.36,2.36,79.00,0.79,79.00,
101+53227,2024-10-13 01:44:00,40.00,45.00,45.00,44.00,2.36,2.36,79.00,0.79,79.00,
101+53227,2024-10-13 01:45:00,40.00,45.00,45.00,44.00,2.36,2.36,78.00,0.78,78.00,
101+53227,2024-10-13 01:46:00,40.00,45.00,45.00,44.00,2.36,2.36,77.00,0.77,77.00,
101+53227,2024-10-13 01:47:00,40.00,45.00,45.00,44.00,2.36,2.36,76.00,0.76,76.00,
101+53227,2024-10-13 01:48:00,40.00,45.00,45.00,44.00,2.36,2.36,76.00,0.76,76.00,
101+53227,2024-10-13 01:49:00,41.00,45.00,45.00,44.00,2.31,2.31,76.00,0.76,76.00,
101+53227,2024-10-13 01:50:00,43.00,45.00,45.00,44.00,2.20,2.20,73.00,0.73,73.00,
101+53227,2024-10-13 01:51:00,46.00,45.00,45.00,44.00,2.06,2.06,71.00,0.71,71.00,
101+53227,2024-10-13 01:52:00,46.00,45.00,45.00,44.00,2.06,2.06,71.00,0.71,71.00,
101+53227,2024-10-13 01:53:00,46.00,45.00,45.00,44.00,2.06,2.06,70.00,0.70,70.00,
101+53227,2024-10-13 01:54:00,46.00,45.00,45.00,44.00,2.06,2.06,70.00,0.70,70.00,
101+53227,2024-10-13 01:55:00,47.00,45.00,45.00,44.00,2.01,2.01,74.00,0.74,74.00,
101+53227,2024-10-13 01:56:00,50.00,45.00,45.00,44.00,1.89,1.89,82.00,0.82,82.00,
101+53227,2024-10-13 01:57:00,50.00,45.00,45.00,44.00,1.89,1.89,82.00,0.82,82.00,
101+53227,2024-10-13 01:58:00,50.00,45.00,45.00,44.00,1.89,1.89,81.00,0.81,81.00,
101+53227,2024-10-13 01:59:00,50.00,45.00,45.00,44.00,1.89,1.89,79.00,0.79,79.00,
101+53227,2024-10-13 02:00:00,50.00,44.00,44.00,44.00,1.89,1.89,78.00,0.78,78.00,
101+53227,2024-10-13 02:01:00,50.00,44.00,44.00,44.00,1.89,1.89,78.00,0.78,78.00,
101+53227,2024-10-13 02:02:00,49.00,44.00,44.00,44.00,1.93,1.93,78.00,0.78,78.00,
101+53227,2024-10-13 02:03:00,49.00,44.00,44.00,44.00,1.93,1.93,77.00,0.77,77.00,
101+53227,2024-10-13 02:04:00,49.00,44.00,44.00,44.00,1.93,1.93,76.00,0.76,76.00,
101+53227,2024-10-13 02:05:00,49.00,44.00,44.00,44.00,1.93,1.93,75.00,0.75,75.00,
101+53227,2024-10-13 02:06:00,48.00,44.00,44.00,44.00,1.97,1.97,75.00,0.75,75.00,
101+53227,2024-10-13 02:07:00,48.00,44.00,44.00,44.00,1.97,1.97,75.00,0.75,75.00,
101+53228,2024-10-13 00:00:00,35.00,38.00,38.00,39.00,0.68,0.68,94.00,0.94,94.00,
101+53228,2024-10-13 00:01:00,35.00,38.00,38.00,39.00,0.68,0.68,93.00,0.93,93.00,
101+53228,2024-10-13 00:02:00,34.00,38.00,38.00,39.00,0.70,0.70,93.00,0.93,93.00,
101+53228,2024-10-13 00:03:00,34.00,38.00,38.00,39.00,0.70,0.70,92.00,0.92,92.00,
101+53228,2024-10-13 00:04:00,34.00,38.00,38.00,39.00,0.70,0.70,90.00,0.90,90.00,
101+53228,2024-10-13 00:05:00,34.00,38.00,38.00,39.00,0.70,0.70,87.00,0.87,87.00,
101+53228,2024-10-13 00:06:00,34.00,38.00,38.00,39.00,0.70,0.70,86.00,0.86,86.00,
101+53228,2024-10-13 00:07:00,35.00,38.00,38.00,39.00,0.68,0.68,86.00,0.86,86.00,
101+53228,2024-10-13 00:08:00,34.00,38.00,38.00,39.00,0.70,0.70,86.00,0.86,86.00,
101+53228,2024-10-13 00:09:00,42.00,38.00,38.00,39.00,0.57,0.57,90.00,0.90,90.00,
101+53228,2024-10-13 00:10:00,42.00,38.00,38.00,39.00,0.57,0.57,88.00,0.88,88.00,
101+53228,2024-10-13 00:11:00,42.00,38.00,38.00,39.00,0.57,0.57,88.00,0.88,88.00,
101+53228,2024-10-13 00:12:00,40.00,38.00,38.00,39.00,0.60,0.60,92.00,0.92,92.00,
101+53228,2024-10-13 00:13:00,41.00,38.00,38.00,39.00,0.58,0.58,91.00,0.91,91.00,
101+53228,2024-10-13 00:14:00,40.00,38.00,38.00,39.00,0.60,0.60,89.00,0.89,89.00,
101+53228,2024-10-13 00:15:00,40.00,38.00,38.00,39.00,0.60,0.60,87.00,0.87,87.00,
101+53228,2024-10-13 00:16:00,42.00,38.00,38.00,39.00,0.57,0.57,90.00,0.90,90.00,
101+53228,2024-10-13 00:17:00,43.00,38.00,38.00,39.00,0.56,0.56,91.00,0.91,91.00,
101+53228,2024-10-13 00:18:00,44.00,38.00,38.00,39.00,0.54,0.54,90.00,0.90,90.00,
101+53228,2024-10-13 00:19:00,43.00,38.00,38.00,39.00,0.56,0.56,89.00,0.89,89.00,
101+53228,2024-10-13 00:20:00,42.00,38.00,38.00,39.00,0.57,0.57,95.00,0.95,95.00,
101+53228,2024-10-13 00:21:00,42.00,38.00,38.00,39.00,0.57,0.57,93.00,0.93,93.00,
101+53228,2024-10-13 00:22:00,41.00,38.00,38.00,39.00,0.58,0.58,93.00,0.93,93.00,
101+53228,2024-10-13 00:23:00,42.00,38.00,38.00,39.00,0.57,0.57,93.00,0.93,93.00,
101+53228,2024-10-13 00:24:00,42.00,38.00,38.00,39.00,0.57,0.57,94.00,0.94,94.00,
101+53228,2024-10-13 00:25:00,41.00,38.00,38.00,39.00,0.58,0.58,90.00,0.90,90.00,
101+53228,2024-10-13 00:26:00,42.00,38.00,38.00,39.00,0.57,0.57,88.00,0.88,88.00,
101+53228,2024-10-13 00:27:00,42.00,38.00,38.00,39.00,0.57,0.57,88.00,0.88,88.00,
101+53228,2024-10-13 00:28:00,41.00,38.00,38.00,39.00,0.58,0.58,87.00,0.87,87.00,
101+53228,2024-10-13 00:29:00,41.00,38.00,38.00,39.00,0.58,0.58,88.00,0.88,88.00,
101+53228,2024-10-13 00:30:00,44.00,38.00,38.00,39.00,0.54,0.54,90.00,0.90,90.00,
101+53228,2024-10-13 00:31:00,42.00,38.00,38.00,39.00,0.57,0.57,90.00,0.90,90.00,
101+53228,2024-10-13 00:32:00,41.00,38.00,38.00,39.00,0.58,0.58,93.00,0.93,93.00,
101+53228,2024-10-13 00:33:00,41.00,38.00,38.00,39.00,0.58,0.58,94.00,0.94,94.00,
101+53228,2024-10-13 00:34:00,41.00,38.00,38.00,39.00,0.58,0.58,94.00,0.94,94.00,
101+53228,2024-10-13 00:35:00,41.00,38.00,38.00,39.00,0.58,0.58,90.00,0.90,90.00,
101+53228,2024-10-13 00:36:00,41.00,38.00,38.00,39.00,0.58,0.58,89.00,0.89,89.00,
101+53228,2024-10-13 00:37:00,42.00,38.00,38.00,39.00,0.57,0.57,87.00,0.87,87.00,
101+53228,2024-10-13 00:38:00,41.00,38.00,38.00,39.00,0.58,0.58,87.00,0.87,87.00,
101+53228,2024-10-13 00:39:00,41.00,38.00,38.00,39.00,0.58,0.58,87.00,0.87,87.00,
101+53228,2024-10-13 00:40:00,42.00,38.00,38.00,39.00,0.57,0.57,82.00,0.82,82.00,
101+53228,2024-10-13 00:41:00,41.00,38.00,38.00,39.00,0.58,0.58,81.00,0.81,81.00,
101+53228,2024-10-13 00:42:00,42.00,38.00,38.00,39.00,0.57,0.57,80.00,0.80,80.00,
101+53228,2024-10-13 00:43:00,38.00,38.00,38.00,39.00,0.63,0.63,84.00,0.84,84.00,
101+53228,2024-10-13 00:44:00,39.00,38.00,38.00,39.00,0.61,0.61,87.00,0.87,87.00,
101+53228,2024-10-13 00:45:00,39.00,38.00,38.00,39.00,0.61,0.61,86.00,0.86,86.00,
101+53228,2024-10-13 00:46:00,41.00,38.00,38.00,39.00,0.58,0.58,89.00,0.89,89.00,
101+53228,2024-10-13 00:47:00,41.00,38.00,38.00,39.00,0.58,0.58,88.00,0.88,88.00,
101+53228,2024-10-13 00:48:00,40.00,38.00,38.00,39.00,0.60,0.60,86.00,0.86,86.00,
101+53228,2024-10-13 00:49:00,41.00,38.00,38.00,39.00,0.58,0.58,86.00,0.86,86.00,
101+53228,2024-10-13 00:50:00,41.00,38.00,38.00,39.00,0.58,0.58,82.00,0.82,82.00,
101+53228,2024-10-13 00:51:00,36.00,38.00,38.00,39.00,0.67,0.67,82.00,0.82,82.00,
101+53228,2024-10-13 00:52:00,37.00,38.00,38.00,39.00,0.65,0.65,81.00,0.81,81.00,
101+53228,2024-10-13 00:53:00,39.00,38.00,38.00,39.00,0.61,0.61,80.00,0.80,80.00,
101+53228,2024-10-13 00:54:00,36.00,38.00,38.00,39.00,0.67,0.67,81.00,0.81,81.00,
101+53228,2024-10-13 00:55:00,37.00,38.00,38.00,39.00,0.65,0.65,80.00,0.80,80.00,
101+53228,2024-10-13 00:56:00,39.00,38.00,38.00,39.00,0.61,0.61,79.00,0.79,79.00,
101+53228,2024-10-13 00:57:00,36.00,38.00,38.00,39.00,0.67,0.67,79.00,0.79,79.00,
101+53228,2024-10-13 00:58:00,38.00,38.00,38.00,39.00,0.63,0.63,80.00,0.80,80.00,
101+53228,2024-10-13 00:59:00,40.00,38.00,38.00,39.00,0.60,0.60,87.00,0.87,87.00,
101+53228,2024-10-13 01:00:00,40.00,38.00,38.00,39.00,0.60,0.60,87.00,0.87,87.00,
101+53228,2024-10-13 01:01:00,40.00,38.00,38.00,39.00,0.60,0.60,87.00,0.87,87.00,
101+53228,2024-10-13 01:02:00,41.00,38.00,38.00,39.00,0.58,0.58,87.00,0.87,87.00,
101+53228,2024-10-13 01:03:00,40.00,38.00,38.00,39.00,0.60,0.60,83.00,0.83,83.00,
101+53228,2024-10-13 01:04:00,40.00,38.00,38.00,39.00,0.60,0.60,82.00,0.82,82.00,
101+53228,2024-10-13 01:05:00,40.00,38.00,38.00,39.00,0.60,0.60,81.00,0.81,81.00,
101+53228,2024-10-13 01:06:00,40.00,38.00,38.00,39.00,0.60,0.60,81.00,0.81,81.00,
101+53228,2024-10-13 01:07:00,40.00,38.00,38.00,39.00,0.60,0.60,80.00,0.80,80.00,
101+53228,2024-10-13 01:08:00,40.00,38.00,38.00,39.00,0.60,0.60,78.00,0.78,78.00,
101+53228,2024-10-13 01:09:00,40.00,38.00,38.00,39.00,0.60,0.60,77.00,0.77,77.00,
101+53228,2024-10-13 01:10:00,40.00,38.00,38.00,39.00,0.60,0.60,77.00,0.77,77.00,
101+53228,2024-10-13 01:11:00,41.00,38.00,38.00,39.00,0.58,0.58,79.00,0.79,79.00,
101+53228,2024-10-13 01:12:00,40.00,38.00,38.00,39.00,0.60,0.60,78.00,0.78,78.00,
101+53228,2024-10-13 01:13:00,40.00,38.00,38.00,39.00,0.60,0.60,77.00,0.77,77.00,
101+53228,2024-10-13 01:14:00,40.00,38.00,38.00,39.00,0.60,0.60,76.00,0.76,76.00,
101+53228,2024-10-13 01:15:00,40.00,38.00,38.00,39.00,0.60,0.60,77.00,0.77,77.00,
101+53228,2024-10-13 01:16:00,40.00,38.00,38.00,39.00,0.60,0.60,76.00,0.76,76.00,
101+53228,2024-10-13 01:17:00,41.00,38.00,38.00,39.00,0.58,0.58,76.00,0.76,76.00,
101+53228,2024-10-13 01:18:00,41.00,38.00,38.00,39.00,0.58,0.58,74.00,0.74,74.00,
101+53228,2024-10-13 01:19:00,41.00,38.00,38.00,39.00,0.58,0.58,74.00,0.74,74.00,
101+53228,2024-10-13 01:20:00,41.00,38.00,38.00,39.00,0.58,0.58,73.00,0.73,73.00,
101+53228,2024-10-13 01:21:00,41.00,38.00,38.00,39.00,0.58,0.58,73.00,0.73,73.00,
101+53228,2024-10-13 01:22:00,37.00,38.00,38.00,39.00,0.65,0.65,83.00,0.83,83.00,
101+53228,2024-10-13 01:23:00,36.00,38.00,38.00,39.00,0.67,0.67,83.00,0.83,83.00,
101+53228,2024-10-13 01:24:00,37.00,38.00,38.00,39.00,0.65,0.65,83.00,0.83,83.00,
101+53228,2024-10-13 01:25:00,37.00,38.00,38.00,39.00,0.65,0.65,83.00,0.83,83.00,
101+53228,2024-10-13 01:26:00,36.00,38.00,38.00,39.00,0.67,0.67,80.00,0.80,80.00,
101+53228,2024-10-13 01:27:00,37.00,38.00,38.00,39.00,0.65,0.65,79.00,0.79,79.00,
101+53228,2024-10-13 01:28:00,37.00,38.00,38.00,39.00,0.65,0.65,79.00,0.79,79.00,
101+53228,2024-10-13 01:29:00,37.00,38.00,38.00,39.00,0.65,0.65,79.00,0.79,79.00,
101+53228,2024-10-13 01:30:00,38.00,38.00,38.00,39.00,0.63,0.63,78.00,0.78,78.00,
101+53228,2024-10-13 01:31:00,37.00,38.00,38.00,39.00,0.65,0.65,77.00,0.77,77.00,
101+53228,2024-10-13 01:32:00,37.00,38.00,38.00,39.00,0.65,0.65,81.00,0.81,81.00,
101+53228,2024-10-13 01:33:00,34.00,38.00,38.00,39.00,0.70,0.70,90.00,0.90,90.00,
101+53228,2024-10-13 01:34:00,35.00,38.00,38.00,39.00,0.68,0.68,90.00,0.90,90.00,
101+53228,2024-10-13 01:35:00,35.00,38.00,38.00,39.00,0.68,0.68,90.00,0.90,90.00,
101+53228,2024-10-13 01:36:00,35.00,38.00,38.00,39.00,0.68,0.68,90.00,0.90,90.00,
101+53228,2024-10-13 01:37:00,35.00,38.00,38.00,39.00,0.68,0.68,85.00,0.85,85.00,
101+53228,2024-10-13 01:38:00,36.00,38.00,38.00,39.00,0.67,0.67,84.00,0.84,84.00,
101+53228,2024-10-13 01:39:00,35.00,38.00,38.00,39.00,0.68,0.68,84.00,0.84,84.00,
101+53228,2024-10-13 01:40:00,36.00,38.00,38.00,39.00,0.67,0.67,84.00,0.84,84.00,
101+53228,2024-10-13 01:41:00,37.00,38.00,38.00,39.00,0.65,0.65,83.00,0.83,83.00,
101+53228,2024-10-13 01:42:00,37.00,38.00,38.00,39.00,0.65,0.65,79.00,0.79,79.00,
101+53228,2024-10-13 01:43:00,37.00,38.00,38.00,39.00,0.65,0.65,78.00,0.78,78.00,
101+53228,2024-10-13 01:44:00,37.00,38.00,38.00,39.00,0.65,0.65,78.00,0.78,78.00,
101+53228,2024-10-13 01:45:00,37.00,38.00,38.00,39.00,0.65,0.65,78.00,0.78,78.00,
101+53228,2024-10-13 01:46:00,37.00,38.00,38.00,39.00,0.65,0.65,80.00,0.80,80.00,
101+53228,2024-10-13 01:47:00,37.00,38.00,38.00,39.00,0.65,0.65,78.00,0.78,78.00,
101+53228,2024-10-13 01:48:00,37.00,38.00,38.00,39.00,0.65,0.65,77.00,0.77,77.00,
101+53228,2024-10-13 01:49:00,37.00,38.00,38.00,39.00,0.65,0.65,77.00,0.77,77.00,
101+53228,2024-10-13 01:50:00,37.00,38.00,38.00,39.00,0.65,0.65,77.00,0.77,77.00,
101+53228,2024-10-13 01:51:00,37.00,38.00,38.00,39.00,0.65,0.65,77.00,0.77,77.00,
101+53228,2024-10-13 01:52:00,41.00,38.00,38.00,39.00,0.58,0.58,72.00,0.72,72.00,
101+53228,2024-10-13 01:53:00,41.00,38.00,38.00,39.00,0.58,0.58,72.00,0.72,72.00,
101+53228,2024-10-13 01:54:00,41.00,38.00,38.00,39.00,0.58,0.58,72.00,0.72,72.00,
101+53228,2024-10-13 01:55:00,41.00,38.00,38.00,39.00,0.58,0.58,72.00,0.72,72.00,
101+53228,2024-10-13 01:56:00,40.00,38.00,38.00,39.00,0.60,0.60,82.00,0.82,82.00,
101+53228,2024-10-13 01:57:00,38.00,38.00,38.00,39.00,0.63,0.63,88.00,0.88,88.00,
101+53228,2024-10-13 01:58:00,38.00,38.00,38.00,39.00,0.63,0.63,88.00,0.88,88.00,
101+53228,2024-10-13 01:59:00,39.00,38.00,38.00,39.00,0.61,0.61,88.00,0.88,88.00,
101+53228,2024-10-13 02:00:00,39.00,39.00,39.00,39.00,0.61,0.61,85.00,0.85,85.00,
101+53228,2024-10-13 02:01:00,39.00,39.00,39.00,39.00,0.61,0.61,83.00,0.83,83.00,
101+53228,2024-10-13 02:02:00,40.00,39.00,39.00,39.00,0.60,0.60,83.00,0.83,83.00,
101+53228,2024-10-13 02:03:00,40.00,39.00,39.00,39.00,0.60,0.60,83.00,0.83,83.00,
101+53228,2024-10-13 02:04:00,40.00,39.00,39.00,39.00,0.60,0.60,83.00,0.83,83.00,
