tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
101P53220,MOUNTAIN RD,EASTBOUND,HOPEWELL RD,GA,FULTON,30004,34.17839,-84.27316,34.17827,-84.27229,0.050541,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53319,SARGENT RD,WESTBOUND,MCGINNIS FERRY RD,GA,FORSYTH,30005,34.07028,-84.17846,34.07011,-84.17877,0.021295,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14330,GA-9,NORTHBOUND,WINDWARD PKY W,GA,FULTON,30004,34.09432,-84.27868,34.09452,-84.27829,0.026272,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53318,SARGENT RD,WESTBOUND,JONES BRIDGE RD,GA,FULTON,30005,34.06885,-84.20644,34.06901,-84.2069,0.029782,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53222,HENDERSON RD,NORTHBOUND,BIRMINGHAM RD,GA,FULTON,30004,34.16502,-84.29366,34.16594,-84.29367,0.063414,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-20109,WATERS RD,SOUTHBOUND,JONES BRIDGE RD,GA,FULTON,30022,34.04562,-84.25873,34.03092,-84.24956,1.254216,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53219,MOUNTAIN RD,EASTBOUND,FREEMANVILLE RD,GA,CHEROKEE,30004,34.19383,-84.30702,34.18579,-84.299,0.766358,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53216,FREEMANVILLE RD,NORTHBOUND,MOUNTAIN RD,GA,FULTON,30004,34.17897,-84.30522,34.18538,-84.29995,0.621285,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14332,GA-9,NORTHBOUND,DEERFIELD PKY,GA,FULTON,30004,34.09841,-84.27145,34.10591,-84.26957,0.529778,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N20091,HEMBREE RD,WESTBOUND,OLD ROSWELL RD,GA,FULTON,30076,34.06087,-84.30878,34.06087,-84.30931,0.030403,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53130,COGBURN RD,SOUTHBOUND,BETHANY BND/BETHANY RD,GA,FULTON,30004,34.13761,-84.28442,34.11945,-84.27659,1.355946,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53251,CUMMING ST,WESTBOUND,GA-9/N MAIN ST,GA,FULTON,30004,34.08418,-84.27316,34.07856,-84.29348,1.25975,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N20092,HEMBREE RD,WESTBOUND,WESTSIDE PKWY,GA,FULTON,30076,34.05866,-84.29935,34.05893,-84.29962,0.024212,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14331,GA-9,NORTHBOUND,WEBB RD,GA,FULTON,30004,34.09452,-84.27829,34.09796,-84.2718,0.458264,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53309,BROADWELL RD,SOUTHBOUND,GA-372/CRABAPPLE RD/MAYFIELD RD,GA,FULTON,30004,34.09008,-84.33949,34.08983,-84.33946,0.017317,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53308,BROADWELL RD,SOUTHBOUND,RUCKER RD,GA,FULTON,30004,34.07933,-84.33979,34.07844,-84.34001,0.062629,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
