tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
101N53064,MILTON AVE,WESTBOUND,WILLS RD,GA,FULTON,30009,34.07684,-84.30839,34.07728,-84.30898,0.045546,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53185,UNION HILL RD,SOUTHBOUND,MCFARLAND PKWY,GA,FORSYTH,30004,34.13059,-84.23024,34.1302,-84.23068,0.03686,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53184,UNION HILL RD,SOUTHBOUND,MCGINNIS FERRY RD/RONALD REAGAN BLVD,GA,FORSYTH,30005,34.10173,-84.23572,34.10147,-84.23543,0.024719,7.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53062,WEBB BRIDGE RD,EASTBOUND,GA-120/KIMBALL BRIDGE RD,GA,FULTON,30005,34.06088,-84.22527,34.06118,-84.22545,0.023112,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N18181,WESTSIDE PKWY,SOUTHBOUND,WINDWARD PKWY,GA,FULTON,30004,34.08771,-84.26955,34.08717,-84.26975,0.038948,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53061,WEBB BRIDGE RD,EASTBOUND,NORTH POINT PKWY,GA,FULTON,30022,34.07636,-84.2602,34.07629,-84.26035,0.009864,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N18180,WESTSIDE PKWY,SOUTHBOUND,ACADEMY ST,GA,FULTON,30076,34.07514,-84.27136,34.07443,-84.27162,0.051163,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53060,WEBB BRIDGE RD,EASTBOUND,HOSPITALITY HWY,GA,FULTON,30022,34.07476,-84.2686,34.07476,-84.26893,0.018927,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53181,HOLBROOK CAMPGROUND RD,SOUTHBOUND,BIRMINGHAM RD,GA,CHEROKEE,30004,34.21311,-84.27126,34.21299,-84.27119,0.016228,2.5,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P18190,ACADEMY ST,EASTBOUND,WEBB BRIDGE RD,GA,FULTON,30076,34.07492,-84.27196,34.07478,-84.2707,0.0732,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+18180,WESTSIDE PKWY,NORTHBOUND,ACADEMY ST,GA,FULTON,30076,34.06905,-84.28303,34.07436,-84.2715,0.86581,8.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+18181,WESTSIDE PKWY,NORTHBOUND,WINDWARD PKWY,GA,FULTON,30004,34.0751,-84.27123,34.08713,-84.2696,1.004924,10.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+18184,MORRIS RD,NORTHBOUND,BETHANY BND/MCGINNIS FERRY RD,GA,FULTON,30004,34.09062,-84.26919,34.10404,-84.25465,1.329394,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N51790,GA-372,SOUTHBOUND,GA-140/ARNOLD MILL RD/HOUZE RD,GA,FULTON,30075,34.08235,-84.35708,34.08201,-84.35728,0.026094,16.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-18189,ACADEMY ST,WESTBOUND,GA-9/N MAIN ST,GA,FULTON,30076,34.07492,-84.27196,34.07562,-84.29407,1.278412,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53055,WINDWARD PKY W,EASTBOUND,CLUB HOUSE DR,GA,FULTON,30005,34.08952,-84.22663,34.08959,-84.22646,0.010877,2.5,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53176,BETHANY BND/BETHANY RD,WESTBOUND,MORRIS RD/MCGINNIS FERRY RD,GA,FORSYTH,30004,34.10432,-84.2541,34.10483,-84.2542,0.035616,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53054,WINDWARD PKY W,EASTBOUND,MCGINNIS FERRY RD,GA,FULTON,30005,34.09392,-84.21019,34.09421,-84.20982,0.029186,2.5,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53175,BETHANY BND/BETHANY RD,WESTBOUND,GA-9/ALPHARETTA HWY/CUMMING HWY,GA,FULTON,30004,34.11787,-84.26954,34.11884,-84.27044,0.084504,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N18190,ACADEMY ST,WESTBOUND,WEBB BRIDGE RD,GA,FULTON,30076,34.07478,-84.2707,34.07492,-84.27196,0.0732,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53173,BETHANY BND/BETHANY RD,WESTBOUND,HOPEWELL RD,GA,FULTON,30004,34.11587,-84.29333,34.11594,-84.29426,0.053683,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53171,HOPEWELL RD/HOLBROOK CAMPGROUND RD,SOUTHBOUND,WILKIE RD,GA,CHEROKEE,30004,34.19135,-84.27526,34.19109,-84.27546,0.021347,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-18183,MORRIS RD,SOUTHBOUND,DEERFIELD PKWY,GA,FULTON,30004,34.10404,-84.25465,34.09069,-84.26937,1.32784,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P18183,MORRIS RD,NORTHBOUND,DEERFIELD PKWY,GA,FULTON,30004,34.09046,-84.26961,34.09062,-84.26919,0.026489,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-18186,OLD MILTON PKWY,WESTBOUND,WILLS RD,GA,FULTON,30076,34.07138,-84.29735,34.07303,-84.31059,0.773537,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P18181,WESTSIDE PKWY,NORTHBOUND,WINDWARD PKWY,GA,FULTON,30004,34.08713,-84.2696,34.08773,-84.26936,0.043585,11.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P18180,WESTSIDE PKWY,NORTHBOUND,ACADEMY ST,GA,FULTON,30076,34.07436,-84.2715,34.0751,-84.27123,0.053307,9.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+18190,ACADEMY ST,EASTBOUND,WEBB BRIDGE RD,GA,FULTON,30076,34.07562,-84.29407,34.07492,-84.27196,1.278412,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P18187,OLD MILTON PKWY,EASTBOUND,GA-9/GA-120/S MAIN ST,GA,FULTON,30076,34.07126,-84.29752,34.07111,-84.29676,0.044801,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P18186,OLD MILTON PKWY,EASTBOUND,WILLS RD,GA,FULTON,30076,34.0729,-84.31083,34.0729,-84.31057,0.014913,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P18184,MORRIS RD,NORTHBOUND,BETHANY BND/MCGINNIS FERRY RD,GA,FULTON,30004,34.10404,-84.25465,34.10432,-84.2541,0.037071,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-18180,WESTSIDE PKWY,SOUTHBOUND,ACADEMY ST,GA,FULTON,30076,34.08717,-84.26975,34.07514,-84.27136,1.005008,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P18189,ACADEMY ST,EASTBOUND,GA-9/N MAIN ST,GA,FULTON,30076,34.07563,-84.29455,34.07562,-84.29407,0.027539,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14378,JONES BRIDGE RD,SOUTHBOUND,SARGENT RD,GA,FULTON,30097,34.08541,-84.18968,34.06901,-84.2069,1.534727,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14377,JONES BRIDGE RD,SOUTHBOUND,GA-120/ABBOTTS BRG RD,GA,FULTON,30097,34.06901,-84.2069,34.06484,-84.21273,0.440964,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14376,JONES BRIDGE RD,SOUTHBOUND,STATE BRIDGE RD,GA,FULTON,30022,34.06446,-84.2132,34.04707,-84.22272,1.332133,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14375,JONES BRIDGE RD,SOUTHBOUND,BUICE RD,GA,FULTON,30022,34.0462,-84.22339,34.03678,-84.23484,0.928069,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14374,JONES BRIDGE RD,SOUTHBOUND,OLD ALABAMA RD,GA,FULTON,30022,34.03678,-84.23484,34.02421,-84.25268,1.406039,7.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53061,WEBB BRIDGE RD,WESTBOUND,NORTH POINT PKWY,GA,FULTON,30022,34.07629,-84.26035,34.07636,-84.2602,0.009864,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14373,JONES BRIDGE RD,SOUTHBOUND,BARNWELL RD,GA,FULTON,30022,34.02421,-84.25268,34.01521,-84.25083,0.667906,8.0,America/New_York,P1.13,USA,2024-08-01 14:00:00-04:00,null
101P53060,WEBB BRIDGE RD,WESTBOUND,HOSPITALITY HWY,GA,FULTON,30022,34.07476,-84.26893,34.07476,-84.2686,0.018927,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53181,HOLBROOK CAMPGROUND RD,NORTHBOUND,BIRMINGHAM RD,GA,CHEROKEE,30040,34.21299,-84.27119,34.21311,-84.27126,0.013508,4.5,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-18179,WESTSIDE PKWY,SOUTHBOUND,GA-120/OLD MILTON PKWY,GA,FULTON,30076,34.07443,-84.27162,34.06907,-84.2832,0.871459,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53166,HOPEWELL RD,SOUTHBOUND,FRANCIS RD/COGBURN RD,GA,FULTON,30004,34.13787,-84.28453,34.13768,-84.28461,0.01598,9.0,America/New_York,P1.8,USA,2024-08-01 14:00:00-04:00,null
101-18178,WESTSIDE PKWY,SOUTHBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.06891,-84.28323,34.06075,-84.28864,0.699788,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-19944,OLD ALABAMA RD,WESTBOUND,NESBIT FERRY RD,GA,FULTON,30076,34.0214,-84.27,34.02025,-84.27593,0.374726,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P20051,OLD ALABAMA RD CONN,NORTHBOUND,MANSELL RD,GA,FULTON,30076,34.03713,-84.29169,34.03752,-84.29194,0.030469,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53161,HOPEWELL RD,SOUTHBOUND,PEBBLE TRL,GA,FULTON,30009,34.08707,-84.29645,34.08659,-84.29649,0.033163,15.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-18171,MANSELL RD,WESTBOUND,N POINT PKWY,GA,FULTON,30076,34.03772,-84.29207,34.03787,-84.30645,0.8292,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-18170,MANSELL RD,WESTBOUND,US-19/TURNER MCDONALD PKWY,GA,FULTON,30076,34.03787,-84.30645,34.03847,-84.30877,0.139417,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53171,HOPEWELL RD/HOLBROOK CAMPGROUND RD,NORTHBOUND,WILKIE RD,GA,FULTON,30004,34.17827,-84.27229,34.19109,-84.27546,0.938938,14.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-18172,MANSELL RD,WESTBOUND,OLD ALABAMA RD CONN,GA,FULTON,30076,34.04107,-84.28547,34.03772,-84.29207,0.451379,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53170,HOPEWELL RD,NORTHBOUND,MOUNTAIN RD,GA,FULTON,30004,34.16588,-84.27547,34.17827,-84.27229,0.880826,13.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-18177,WESTSIDE PKWY,SOUTHBOUND,HEMBREE RD,GA,FULTON,30076,34.06032,-84.28916,34.05866,-84.29935,0.614928,8.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-18176,WESTSIDE PKWY,SOUTHBOUND,OLD ROSWELL RD,GA,FULTON,30076,34.05866,-84.29935,34.04413,-84.31959,1.759574,9.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14362,RUCKER RD,WESTBOUND,WILLS RD,GA,FULTON,30076,34.07304,-84.31078,34.07304,-84.31092,0.00803,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14371,MCGINNIS FERRY RD,EASTBOUND,TIDWELL DR,GA,FULTON,30004,34.10436,-84.25395,34.10358,-84.24656,0.438222,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53184,UNION HILL RD,NORTHBOUND,MCGINNIS FERRY RD/RONALD REAGAN BLVD,GA,FORSYTH,30005,34.10147,-84.23543,34.10186,-84.23556,0.028369,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14370,MCGINNIS FERRY RD,EASTBOUND,MCFARLAND RD,GA,FORSYTH,30004,34.10358,-84.24656,34.09981,-84.21605,2.037838,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53062,WEBB BRIDGE RD,WESTBOUND,GA-120/KIMBALL BRIDGE RD,GA,FULTON,30005,34.06118,-84.22545,34.06088,-84.22527,0.023112,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53065,MILTON AVE,EASTBOUND,GA-9/S MAIN ST/ALPHARETTA HWY/N MAIN ST,GA,FULTON,30009,34.07564,-84.29486,34.07563,-84.29455,0.017793,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53186,UNION HILL RD,NORTHBOUND,MULLINAX RD,GA,FORSYTH,30004,34.13266,-84.22641,34.13274,-84.22605,0.02147,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53064,MILTON AVE,EASTBOUND,WILLS RD,GA,FULTON,30009,34.07728,-84.30898,34.07684,-84.30839,0.045546,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53185,UNION HILL RD,NORTHBOUND,MCFARLAND PKWY,GA,FORSYTH,30004,34.13018,-84.23051,34.13075,-84.22909,0.093702,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53189,SHILOH RD,NORTHBOUND,MCFARLAND PKWY,GA,FORSYTH,30005,34.10571,-84.21705,34.10582,-84.21659,0.027511,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N18173,MANSELL RD,WESTBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.04126,-84.28474,34.04107,-84.28547,0.044151,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+51798,GA-372,NORTHBOUND,MOUNTAIN RD,GA,FULTON,30115,34.16885,-84.3318,34.19437,-84.30731,2.328336,10.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+51797,GA-372,NORTHBOUND,NEW BULLPEN RD,GA,FULTON,30115,34.1666,-84.33323,34.16885,-84.3318,0.17567,9.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N18178,WESTSIDE PKWY,SOUTHBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.06075,-84.28864,34.06032,-84.28916,0.043093,7.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53171,HOPEWELL RD/HOLBROOK CAMPGROUND RD,NORTHBOUND,WILKIE RD,GA,CHEROKEE,30004,34.19109,-84.27546,34.19135,-84.27526,0.021347,15.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+51799,GA-372,NORTHBOUND,BIRMINGHAM RD,GA,CHEROKEE,30115,34.19437,-84.30731,34.20654,-84.28932,1.48933,11.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14372,MCGINNIS FERRY RD,EASTBOUND,BETHANY BND/MORRIS RD,GA,FORSYTH,30004,34.10432,-84.2541,34.10436,-84.25395,0.009031,5.001,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P20045,NESBIT FERRY RD,NORTHBOUND,GA-140/HOLCOMB BRIDGE RD,GA,FULTON,30350,33.98877,-84.27372,33.98922,-84.27338,0.03666,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53153,BETHANY RD,SOUTHBOUND,MAYFIELD RD,GA,FULTON,30009,34.09615,-84.32636,34.09588,-84.32635,0.024552,4.5,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-18169,MANSELL RD,WESTBOUND,OLD ROSWELL RD/WESTSIDE PKWY,GA,FULTON,30076,34.03983,-84.31327,34.0409,-84.32335,0.598765,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53152,BETHANY RD,SOUTHBOUND,MID BROADWELL RD,GA,FULTON,30004,34.0873,-84.32639,34.08707,-84.32642,0.024663,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N53150,MAYFIELD RD,WESTBOUND,GA-9/N MAIN ST,GA,FULTON,30009,34.08113,-84.29471,34.08118,-84.2957,0.056888,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N18170,MANSELL RD,WESTBOUND,US-19/TURNER MCDONALD PKWY,GA,FULTON,30076,34.03847,-84.30877,34.03983,-84.31327,0.274771,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P20043,SCOTT RD,NORTHBOUND,NESBIT FERRY RD,GA,FULTON,30076,34.01193,-84.28192,34.01232,-84.28129,0.045124,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-20195,WILLS RD,SOUTHBOUND,HEMBREE RD,GA,FULTON,30076,34.06591,-84.31188,34.06089,-84.31202,0.346182,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-20196,WILLS RD,SOUTHBOUND,GA-9/GA-120/S MAIN ST/ALPHARETTA HWY,GA,FULTON,30076,34.07276,-84.31089,34.06623,-84.31189,0.458883,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14379,JONES BRIDGE RD,SOUTHBOUND,MCGINNIS FERRY RD,GA,FULTON,30041,34.08545,-84.18955,34.08541,-84.18968,0.007949,1.001,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53061,WEBB BRIDGE RD,WESTBOUND,NORTH POINT PKWY,GA,FULTON,30022,34.07476,-84.2686,34.07629,-84.26035,0.50072,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14377,JONES BRIDGE RD,SOUTHBOUND,GA-120/ABBOTTS BRG RD,GA,FULTON,30097,34.06484,-84.21273,34.06446,-84.2132,0.037597,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53062,WEBB BRIDGE RD,WESTBOUND,GA-120/KIMBALL BRIDGE RD,GA,FULTON,30005,34.07636,-84.2602,34.06118,-84.22545,2.70238,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53180,HOLBROOK CAMPGROUND RD,NORTHBOUND,DREW RD,GA,CHEROKEE,30004,34.20373,-84.26694,34.2103,-84.2679,0.458488,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14376,JONES BRIDGE RD,SOUTHBOUND,STATE BRIDGE RD,GA,FULTON,30022,34.04707,-84.22272,34.0462,-84.22339,0.072021,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53181,HOLBROOK CAMPGROUND RD,NORTHBOUND,BIRMINGHAM RD,GA,CHEROKEE,30004,34.2103,-84.2679,34.21299,-84.27119,0.268211,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N14373,JONES BRIDGE RD,SOUTHBOUND,BARNWELL RD,GA,FULTON,30022,34.01521,-84.25083,34.01507,-84.25082,0.009676,8.001,America/New_York,P1.13,USA,2024-08-01 14:00:00-04:00,null
101-20194,WILLS RD,SOUTHBOUND,OLD ROSWELL RD,GA,FULTON,30076,34.06089,-84.31202,34.05874,-84.31157,0.157224,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14360,RUCKER RD,WESTBOUND,GA-140/HOUZE RD,GA,FULTON,30075,34.07844,-84.34001,34.07771,-84.35534,0.899763,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53173,BETHANY BND/BETHANY RD,EASTBOUND,HOPEWELL RD,GA,FULTON,30004,34.11594,-84.29426,34.11587,-84.29333,0.053683,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101N18179,WESTSIDE PKWY,SOUTHBOUND,GA-120/OLD MILTON PKWY,GA,FULTON,30076,34.06907,-84.2832,34.06891,-84.28323,0.011161,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53054,WINDWARD PKY W,WESTBOUND,MCGINNIS FERRY RD,GA,FULTON,30005,34.09421,-84.20982,34.09392,-84.21019,0.029186,1.5,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53175,BETHANY BND/BETHANY RD,EASTBOUND,GA-9/ALPHARETTA HWY/CUMMING HWY,GA,FULTON,30004,34.11884,-84.27044,34.11787,-84.26954,0.084504,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P51790,GA-372,NORTHBOUND,GA-140/ARNOLD MILL RD/HOUZE RD,GA,FULTON,30075,34.08201,-84.35728,34.08235,-84.35708,0.026094,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53056,WINDWARD PKY W,WESTBOUND,WINDWARD CON,GA,FULTON,30005,34.09475,-84.23914,34.09474,-84.23932,0.010344,1.5,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53055,WINDWARD PKY W,WESTBOUND,CLUB HOUSE DR,GA,FULTON,30005,34.08976,-84.22656,34.0897,-84.22673,0.01059,1.5,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53176,BETHANY BND/BETHANY RD,EASTBOUND,MORRIS RD/MCGINNIS FERRY RD,GA,FORSYTH,30004,34.10483,-84.2542,34.10432,-84.2541,0.035616,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53057,WINDWARD PKY W,WESTBOUND,NORTH POINT PKWY,GA,FULTON,30022,34.08881,-84.25688,34.08881,-84.25703,0.008602,1.5,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53178,HOLBROOK CAMPGROUND RD,NORTHBOUND,WILKIE RD,GA,CHEROKEE,30004,34.19135,-84.27526,34.19207,-84.27376,0.099852,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14354,HAYNES BRIDGE RD,NORTHBOUND,ACADEMY ST,GA,FULTON,30076,34.07531,-84.29097,34.07563,-84.29101,0.022592,14.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14353,HAYNES BRIDGE RD,NORTHBOUND,GA-120/MADDOX ST/OLD MILTON PKY,GA,FULTON,30076,34.07081,-84.29356,34.07098,-84.29356,0.011717,12.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14353,HAYNES BRIDGE RD,SOUTHBOUND,GA-120/MADDOX ST/OLD MILTON PKY,GA,FULTON,30076,34.07532,-84.29109,34.07099,-84.29373,0.359258,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14358,HARDSCRABBLE RD,EASTBOUND,GA-140/ARNOLD MILL RD/HOUZE RD,GA,FULTON,30075,34.08184,-84.35735,34.08201,-84.35728,0.012386,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14352,HAYNES BRIDGE RD,SOUTHBOUND,MORRISON PKY/WESTSIDE PKY,GA,FULTON,30076,34.07083,-84.29373,34.0604,-84.28923,0.783799,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14351,HAYNES BRIDGE RD,SOUTHBOUND,US-19/GA-400/TURNER MCDONALD PKY,GA,FULTON,30076,34.06022,-84.28906,34.05648,-84.28649,0.298557,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-14350,HAYNES BRIDGE RD,SOUTHBOUND,NORTH POINT PKY,GA,FULTON,30076,34.05369,-84.28553,34.04864,-84.28663,0.35673,8.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14359,RUCKER RD,EASTBOUND,CRABAPPLE RD,GA,FULTON,30075,34.0778,-84.35962,34.07776,-84.35944,0.010685,5.001,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P20110,WATERS RD,NORTHBOUND,KIMBALL BRIDGE RD,GA,FULTON,30022,34.04562,-84.25873,34.04606,-84.25845,0.034319,3.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101-53318,SARGENT RD,WESTBOUND,JONES BRIDGE RD,GA,FULTON,30005,34.07011,-84.17877,34.06885,-84.20644,1.61739,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+07135,GA-120,EASTBOUND,US-19/GA-400/TURNER MCDONALD PKY,GA,FULTON,30076,34.07081,-84.29356,34.0686,-84.27331,1.186171,62.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+07134,GA-120,EASTBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.07111,-84.29676,34.07083,-84.29373,0.174934,60.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+53150,MAYFIELD RD,EASTBOUND,GA-9/N MAIN ST,GA,FULTON,30009,34.08152,-84.29725,34.08118,-84.2957,0.09225,7.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P07820,GA-120,EASTBOUND,JONES BRIDGE RD,GA,FULTON,30097,34.06484,-84.21474,34.06467,-84.2127,0.118092,67.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14343,NORTH POINT PKY,NORTHBOUND,KIMBALL BRIDGE RD,GA,FULTON,30076,34.04849,-84.28643,34.05468,-84.27606,0.783933,4.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53161,HOPEWELL RD,NORTHBOUND,PEBBLE TRL,GA,FULTON,30009,34.08659,-84.29649,34.08707,-84.29645,0.033163,1.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14344,NORTH POINT PKY,NORTHBOUND,GA-120/OLD MILTON PKY,GA,FULTON,30005,34.05472,-84.27526,34.06755,-84.26131,1.294824,5.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101+14342,NORTH POINT PKY,NORTHBOUND,HAYNES BRIDGE RD,GA,FULTON,30076,34.03818,-84.30636,34.04848,-84.28661,1.397779,2.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P14350,HAYNES BRIDGE RD,NORTHBOUND,NORTH POINT PKY,GA,FULTON,30076,34.04849,-84.28643,34.04866,-84.28644,0.011731,6.0,America/New_York,P1.11,USA,2024-08-01 14:00:00-04:00,null
101P53166,HOPEWELL RD,NORTHBOUND,FRANCIS RD/COGBURN RD,GA,FULTON,30004,34.13768,-84.28461,34.13787,-84.28453,0.042774,7.0,America/New_York,P1.8,USA,2024-08-01 14:00:00-04:00,null
