tmc_code,measurement_tstamp,speed,historical_average_speed,travel_time_minutes,rolling_mean,rolling_std,anomaly_score
112N18004,2024-06-17 00:41:00,29.0,29.0,0.03,30.933333333333334,0.3651483716701006,-5.294651389216753
112N18004,2024-06-17 00:42:00,29.0,29.0,0.03,30.866666666666667,0.5074162634049187,-3.6787679096857504
112N18004,2024-06-17 01:29:00,29.0,29.0,0.03,45.43333333333333,3.103761159195907,-5.294651389216663
112N18004,2024-06-17 02:13:00,29.0,29.0,0.03,40.6,2.190890230020636,-5.294651389216676
112N18004,2024-06-17 02:14:00,29.0,29.0,0.03,40.2,3.044497580429529,-3.6787679096857304
112N18004,2024-06-17 04:39:00,29.0,29.0,0.03,35.86666666666667,1.634400308313729,-4.20133710923688
112N18004,2024-06-17 04:40:00,29.0,29.0,0.03,35.666666666666664,2.056668436445501,-3.241488296571776
112N18004,2024-06-17 06:36:00,37.0,24.0,0.02,41.666666666666664,1.3217891045026748,-3.5305682659734927
112N18004,2024-06-17 07:11:00,23.0,26.0,0.04,35.53333333333333,2.569493889966408,-4.877743972178577
112N18004,2024-06-17 07:12:00,23.0,26.0,0.04,35.06666666666667,3.423381402923871,-3.52478010669821
112N18004,2024-06-17 08:45:00,26.0,28.0,0.03,34.5,2.2089161018082253,-3.848041124351384
112N18004,2024-06-17 11:31:00,27.0,27.0,0.03,32.43333333333333,1.735696885449998,-3.130346881923845
112N18004,2024-06-17 12:53:00,25.0,29.0,0.04,31.866666666666667,2.0800088417141467,-3.3012680181723697
112N18004,2024-06-17 15:17:00,33.0,26.0,0.03,38.5,1.717054414417248,-3.203159989467572
112N18004,2024-06-17 17:11:00,27.0,24.0,0.03,33.36666666666667,1.8285727114116943,-3.4817683906873325
112N18004,2024-06-17 20:39:00,36.0,28.0,0.03,39.86666666666667,1.2793676598996562,-3.0223264100406753
112N18004,2024-06-17 23:06:00,29.0,29.0,0.03,40.13333333333333,2.2702473408216592,-4.904017783940626
112N18004,2024-06-17 23:07:00,29.0,29.0,0.03,39.8,3.0444975804298715,-3.5473833414822677
112N18004,2024-06-18 00:12:00,29.0,29.0,0.03,38.46666666666667,1.8888663510041075,-5.011824506077023
112N18004,2024-06-18 00:13:00,29.0,29.0,0.03,38.2,2.551537737833338,-3.6056687947763875
112N18004,2024-06-18 03:07:00,29.0,29.0,0.03,50.266666666666666,4.016632088371891,-5.294651389215719
112N18004,2024-06-18 03:08:00,29.0,29.0,0.03,49.53333333333333,5.581578897454635,-3.6787679096854005
112N18004,2024-06-18 05:00:00,27.0,27.0,0.03,28.933333333333334,0.36514837166823616,-5.294651389243787
112N18004,2024-06-18 05:01:00,27.0,27.0,0.03,28.866666666666667,0.5074162634035556,-3.678767909695633
112N18004,2024-06-18 06:33:00,31.0,23.0,0.03,34.86666666666667,0.7302967433405594,-5.294651389214157
112N18004,2024-06-18 06:34:00,31.0,23.0,0.03,34.733333333333334,1.0148325268100729,-3.6787679096848973
112N18004,2024-06-18 09:04:00,23.0,28.0,0.04,34.2,3.177507155639195,-3.5247756972389834
112N18004,2024-06-18 11:51:00,29.0,29.0,0.03,34.233333333333334,1.5241353305227219,-3.433640850998773
112N18004,2024-06-18 15:45:00,23.0,23.0,0.04,34.46666666666667,3.224190177215251,-3.5564486076843287
112N18004,2024-06-18 15:46:00,21.0,23.0,0.04,34.06666666666667,4.050826508541119,-3.2256791642682696
112N18004,2024-06-18 17:22:00,23.0,19.0,0.04,29.6,2.1750941319302686,-3.034351434778084
112N18004,2024-06-18 22:10:00,29.0,29.0,0.03,41.06666666666667,2.8518999514949397,-4.231097469019359
112N18004,2024-06-18 22:11:00,29.0,29.0,0.03,40.733333333333334,3.5905367318817176,-3.2678494079029137
112N18004,2024-06-18 23:47:00,29.0,29.0,0.03,44.43333333333333,3.244978437135839,-4.756066529352802
112N18004,2024-06-18 23:48:00,29.0,29.0,0.03,43.96666666666667,4.295011808690014,-3.484662518595386
112N18004,2024-06-19 00:39:00,29.0,29.0,0.03,40.166666666666664,2.166887698717616,-5.153320438929622
112N18004,2024-06-19 00:40:00,29.0,29.0,0.03,39.8,2.975764173081608,-3.6293198559534563
112N18004,2024-06-19 03:00:00,29.0,29.0,0.03,46.666666666666664,4.428227117290301,-3.989557490781359
112N18004,2024-06-19 03:01:00,29.0,29.0,0.03,45.93333333333333,5.400723663728775,-3.135382290906214
112N18004,2024-06-19 06:57:00,23.0,23.0,0.04,37.0,2.779233335118918,-5.037360419901903
112N18004,2024-06-19 06:58:00,23.0,23.0,0.04,36.46666666666667,3.7484096244467713,-3.5926347480377676
112N18004,2024-06-19 09:57:00,23.0,28.0,0.04,33.733333333333334,2.5452231571201405,-4.217050007307747
112N18004,2024-06-19 09:58:00,23.0,28.0,0.04,33.333333333333336,3.1984191497474943,-3.2307627141830744
112N18004,2024-06-19 10:32:00,25.0,26.0,0.04,30.733333333333334,1.436790804567985,-3.9903744616859766
